# Athena++ data at time=1.000000e-01  cycle=242  variables=prim 
# i       x1v         rho          press          vel1         vel2         vel3         Bcc1         Bcc2         Bcc3     
0148  7.22656e-02  3.59694e-01  5.13222e-01  6.60715e-01 -1.61674e+00  0.00000e+00  7.50000e-01 -5.35556e-01  0.00000e+00
0149  7.61719e-02  3.35918e-01  5.13438e-01  6.60895e-01 -1.61706e+00  0.00000e+00  7.50000e-01 -5.35326e-01  0.00000e+00
0150  8.00781e-02  3.16583e-01  5.13653e-01  6.61098e-01 -1.61743e+00  0.00000e+00  7.50000e-01 -5.35095e-01  0.00000e+00
0151  8.39844e-02  3.01690e-01  5.13871e-01  6.61323e-01 -1.61784e+00  0.00000e+00  7.50000e-01 -5.34861e-01  0.00000e+00
0152  8.78906e-02  2.90842e-01  5.14088e-01  6.61563e-01 -1.61829e+00  0.00000e+00  7.50000e-01 -5.34626e-01  0.00000e+00
0153  9.17969e-02  2.83392e-01  5.14297e-01  6.61806e-01 -1.61873e+00  0.00000e+00  7.50000e-01 -5.34398e-01  0.00000e+00
0154  9.57031e-02  2.78593e-01  5.14475e-01  6.62024e-01 -1.61912e+00  0.00000e+00  7.50000e-01 -5.34198e-01  0.00000e+00
0155  9.96094e-02  2.75714e-01  5.14578e-01  6.62160e-01 -1.61934e+00  0.00000e+00  7.50000e-01 -5.34075e-01  0.00000e+00
0156  1.03516e-01  2.74109e-01  5.14513e-01  6.62104e-01 -1.61916e+00  0.00000e+00  7.50000e-01 -5.34121e-01  0.00000e+00
0157  1.07422e-01  2.73238e-01  5.14101e-01  6.61642e-01 -1.61815e+00  0.00000e+00  7.50000e-01 -5.34517e-01  0.00000e+00
0158  1.11328e-01  2.72647e-01  5.13006e-01  6.60371e-01 -1.61548e+00  0.00000e+00  7.50000e-01 -5.35606e-01  0.00000e+00
0159  1.15234e-01  2.71906e-01  5.10603e-01  6.57534e-01 -1.60963e+00  0.00000e+00  7.50000e-01 -5.38011e-01  0.00000e+00
0160  1.19141e-01  2.70506e-01  5.05742e-01  6.51723e-01 -1.59784e+00  0.00000e+00  7.50000e-01 -5.42854e-01  0.00000e+00
0161  1.23047e-01  2.67707e-01  4.96345e-01  6.40330e-01 -1.57519e+00  0.00000e+00  7.50000e-01 -5.52072e-01  0.00000e+00
0162  1.26953e-01  2.62310e-01  4.78773e-01  6.18570e-01 -1.53316e+00  0.00000e+00  7.50000e-01 -5.68801e-01  0.00000e+00
0163  1.30859e-01  2.52399e-01  4.47090e-01  5.77931e-01 -1.45788e+00  0.00000e+00  7.50000e-01 -5.97538e-01  0.00000e+00
0164  1.34766e-01  2.35322e-01  3.93354e-01  5.04600e-01 -1.32945e+00  0.00000e+00  7.50000e-01 -6.43045e-01  0.00000e+00
